[2015-03-19 10:34:41] 192.168.1.21:38538 "GET /testfolder HTTP/1.1" 200
[2015-03-19 10:34:41] 192.168.1.21:38539 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:42] 192.168.1.21:38540 "GET /testfolder/godparticle.jpeg HTTP/1.1" -1
[2015-03-19 10:34:42] 192.168.1.21:38541 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:43] 192.168.1.21:38542 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:43] 192.168.1.12:62119 "GET /6970190529164985614 HTTP/1.1" 404
[2015-03-19 10:34:43] 192.168.1.12:62120 "GET /7084340863129525881 HTTP/1.1" 404
[2015-03-19 10:34:43] 192.168.1.12:62121 "GET /testfolder/8840973033864259907 HTTP/1.1" 404
[2015-03-19 10:34:43] 192.168.1.12:62122 "GET /testfolder/3358511129759665088 HTTP/1.1" 404
[2015-03-19 10:34:44] 192.168.1.12:62123 "GET / HTTP/1.1" 200
[2015-03-19 10:34:44] 192.168.1.12:62124 "GET /404.html HTTP/1.1" -1
[2015-03-19 10:34:44] 192.168.1.12:62125 "GET /default.htm HTTP/1.1" -1
[2015-03-19 10:34:44] 192.168.1.12:62126 "GET /testfolder HTTP/1.1" 200
[2015-03-19 10:34:44] 192.168.1.12:62127 "GET /jackert.html HTTP/1.1" -1
[2015-03-19 10:34:44] 192.168.1.12:62128 "GET /testfolder HTTP/1.1" 200
[2015-03-19 10:34:44] 192.168.1.12:62129 "GET /testfolder/483ef0911f5e27073a015b45aee7a288b9c8d3bfa104f8bfe6625572f97cfa52.jpg HTTP/1.1" -1
[2015-03-19 10:34:44] 192.168.1.12:62130 "GET /testfolder/godparticle.jpeg HTTP/1.1" -1
[2015-03-19 10:34:45] 192.168.1.21:38543 "GET /testfolder/483ef0911f5e27073a015b45aee7a288b9c8d3bfa104f8bfe6625572f97cfa52.jpg HTTP/1.1" -1
[2015-03-19 10:34:45] 192.168.1.21:38544 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:46] 192.168.1.21:38545 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:48] 192.168.1.21:38546 "GET / HTTP/1.1" 200
[2015-03-19 10:34:48] 192.168.1.21:38547 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:49] 192.168.1.21:38550 "GET /404.html HTTP/1.1" -1
[2015-03-19 10:34:49] 192.168.1.21:38551 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:49] 192.168.1.21:38552 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:50] 192.168.1.21:38553 "GET /jackert.html HTTP/1.1" -1
[2015-03-19 10:34:50] 192.168.1.21:38556 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:51] 192.168.1.21:38557 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:52] 192.168.1.21:38558 "GET /default.htm HTTP/1.1" -1
[2015-03-19 10:34:52] 192.168.1.21:38560 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:34:52] 192.168.1.21:38561 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:35:11] 192.168.1.15:53441 "GET / HTTP/1.1" 200
[2015-03-19 10:35:11] 192.168.1.15:53442 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:35:14] 192.168.1.15:53443 "GET /testfolder HTTP/1.1" 200
[2015-03-19 10:35:14] 192.168.1.15:53444 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:35:16] 192.168.1.15:53445 "GET /testfolder/godparticle.jpeg HTTP/1.1" -1
[2015-03-19 10:35:16] 192.168.1.15:53446 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:35:19] 192.168.1.15:53451 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:35:20] 192.168.1.15:53452 "GET /testfolder/483ef0911f5e27073a015b45aee7a288b9c8d3bfa104f8bfe6625572f97cfa52.jpg HTTP/1.1" -1
[2015-03-19 10:35:20] 192.168.1.15:53453 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:35:21] 192.168.1.15:53454 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:35:22] 192.168.1.15:53455 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:35:23] 192.168.1.15:53456 "GET /default.htm HTTP/1.1" -1
[2015-03-19 10:35:23] 192.168.1.15:53457 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:35:24] 192.168.1.15:53458 "GET /favicon.ico HTTP/1.1" 404
[2015-03-19 10:35:25] 192.168.1.15:53459 "GET /404.html HTTP/1.1" -1
[2015-03-19 10:35:25] 192.168.1.15:53460 "GET /favicon.ico HTTP/1.1" 404
